"Source:","C:\Users\srdja\OneDrive\Radna površina\PRIUMS\Projekat\Projekat.kicad_sch"
"Date:","1/13/2024 11:18:58 PM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"","","RV1","1K","Device:R_Potentiometer_Trim_US","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~","","","","","","","","","","","","","",""
"","","RV2","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","RV3","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","RV4","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","RV5","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","RV6","430V","Device:Varistor","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","","","","","","","","",""
"","","S1","EG2310","PRIUMS_STANDARD:EG2310","EG2310:SW_EG2310","","In Stock","https://www.snapeda.com/parts/EG2310/E-Switch/view-part/?ref=eda","Slide Switch DP3T Through Hole, Right Angle","E-Switch","4.7mm","E-Switch","EG2310","-","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=396456&manufacturer=E-Switch&part_name=EG2310&search_term=None","EG2310","Manufacturer Recommendations","https://www.snapeda.com/parts/EG2310/E-Switch/view-part/?ref=snap"
"","","TH1","PTC","PRIUMS_STANDARD:PTC","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical","https://www.vishay.com/docs/29072/ptccl.pdf","","","","","","","","","","","","","",""
"","","U1","ICL7107CPL","Analog_ADC:ICL7107CPL","Package_DIP:DIP-40_W15.24mm","https://www.renesas.com/eu/en/www/doc/datasheet/icl7106-07-07s.pdf","","","","","","","","","","","","","",""
"","","U2","DE113-XX-XX","Display_Character:DE113-XX-XX","Display_7Segment:DE113-XX-XX","http://www.display-elektronik.de/filter/DE113-MS-20_75.pdf","","","","","","","","","","","","","",""
"","","U3","L7806","Regulator_Linear:L7806","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","","","","","",""
"","","U4","L7905","Regulator_Linear:L7905","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf","","","","","","","","","","","","","",""
"","","U5","AD8561","Comparator:AD8561","Package_DIP:DIP-8_W7.62mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ad8561.pdf","","","","","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","Purchase-URL","SNAPEDA_PN","STANDARD","SnapEDA_Link"
"1","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","","","","","","","","","","","","","",""
"2","1","C1","0.022uF","Device:C","Capacitor_THT:C_Rect_L26.5mm_W11.5mm_P22.50mm_MKS4","~","","","","","","","","","","","","","",""
"3","1","C2","1uF","PRIUMS_STANDARD:Cap_pol","Capacitor_SMD:C_1210_3225Metric","","","","","","","","","","","","","","",""
